epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,2422.38,0.50758,0.56799,1.05052,0.72639,0.70043,0.74486,0.62862,0.68041,1.03511,1.21264,0.000183751,0.000183751,0.000183751
115,2443.14,0.47092,0.55598,1.03814,0.73091,0.71314,0.73759,0.6231,0.67252,1.03921,1.19264,0.000181687,0.000181687,0.000181687
116,2464.05,0.48781,0.55599,1.02898,0.71529,0.72011,0.73971,0.62107,0.66686,1.0945,1.19018,0.000179623,0.000179623,0.000179623
117,2484.75,0.48865,0.56446,1.0423,0.72032,0.72101,0.74796,0.63181,0.66157,1.08398,1.19797,0.000177559,0.000177559,0.000177559
118,2505.4,0.49015,0.54983,1.03966,0.76426,0.69454,0.74598,0.62887,0.66274,1.06717,1.19093,0.000175494,0.000175494,0.000175494
119,2526.05,0.49039,0.55318,1.03776,0.76354,0.70814,0.747,0.62676,0.66576,1.07352,1.19578,0.00017343,0.00017343,0.00017343
120,2546.72,0.4703,0.54943,1.02693,0.75225,0.69178,0.74662,0.62552,0.68573,1.06914,1.20495,0.000171366,0.000171366,0.000171366
121,2567.4,0.48235,0.55352,1.03987,0.73426,0.69589,0.73649,0.62019,0.67175,1.05815,1.18661,0.000169302,0.000169302,0.000169302
122,2588.12,0.46639,0.53326,1.02781,0.71636,0.72865,0.75633,0.6378,0.66866,1.04893,1.19205,0.000167238,0.000167238,0.000167238
123,2608.58,0.47786,0.54025,1.03112,0.71542,0.70259,0.74807,0.62839,0.6589,1.10335,1.18503,0.000165174,0.000165174,0.000165174
124,2629.27,0.47278,0.52163,1.0296,0.71433,0.71942,0.75059,0.62934,0.67073,1.08442,1.18726,0.00016311,0.00016311,0.00016311
125,2650.51,0.47526,0.55101,1.0345,0.72002,0.71386,0.73945,0.62089,0.69696,1.07456,1.22478,0.000161045,0.000161045,0.000161045
126,2671.34,0.48164,0.5308,1.03607,0.75486,0.70256,0.74123,0.63485,0.67036,1.06557,1.19778,0.000158981,0.000158981,0.000158981
127,2692.86,0.46229,0.51531,1.02332,0.7624,0.68473,0.7399,0.62254,0.68544,1.06621,1.20063,0.000156917,0.000156917,0.000156917
128,2713.64,0.4628,0.51608,1.023,0.74504,0.70703,0.74521,0.62373,0.67901,1.05798,1.19453,0.000154853,0.000154853,0.000154853
129,2734.35,0.47454,0.53206,1.04097,0.74718,0.69078,0.74631,0.6258,0.66362,1.07322,1.18709,0.000152789,0.000152789,0.000152789
130,2755.04,0.46653,0.5171,1.02717,0.74649,0.72111,0.74421,0.6297,0.66597,1.07433,1.19156,0.000150725,0.000150725,0.000150725
131,2775.68,0.46091,0.52157,1.01816,0.74105,0.7264,0.75266,0.63164,0.67276,1.03588,1.19239,0.00014866,0.00014866,0.00014866
132,2796.29,0.46985,0.54134,1.02973,0.74729,0.69259,0.74908,0.63538,0.67747,1.01907,1.19564,0.000146596,0.000146596,0.000146596
133,2817.12,0.45132,0.53068,1.01938,0.70361,0.73373,0.74915,0.63751,0.67546,1.02113,1.194,0.000144532,0.000144532,0.000144532
